order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
001427c0ec99cf8af737bd88e92fd444,eab9c552374be06ed15923016dc9e588,delivered,2018-04-07 18:51:22,2018-04-07 19:08:28,2018-04-09 23:29:32,2018-04-25 23:38:41,2018-05-10 00:00:00
0017afd5076e074a48f1f1a4c7bac9c5,8085a9af46f619bc25966f151a362b0d,delivered,2017-04-06 22:16:10,2017-04-06 22:25:19,2017-04-17 13:54:37,2017-05-23 08:32:07,2017-05-19 00:00:00
00254baeb6c932b0a8aeead91fbd02b5,ce0421a97232c2a1194cdb66cd3ebb9d,delivered,2018-05-08 21:45:54,2018-05-08 22:14:46,2018-05-09 13:51:00,2018-05-30 19:38:36,2018-06-05 00:00:00
0029f17cf0e7640c5cb6825af681303f,687223424c00a708c168301ebb8d16ef,delivered,2018-05-02 11:59:06,2018-05-02 12:14:52,2018-05-03 12:12:00,2018-05-10 23:42:18,2018-05-22 00:00:00
00345f338696283410b7977d2e3efc89,3f9d223f86d2f243dd5a85fdc286c62a,delivered,2018-08-20 11:06:46,2018-08-20 15:12:10,2018-08-21 13:18:00,2018-08-30 21:13:48,2018-09-11 00:00:00
00404fa7a687c8c44ca69d42695aae73,0c34c39c897304ff49eeade3059c4c60,delivered,2018-05-07 22:38:21,2018-05-09 04:31:28,2018-05-10 18:29:00,2018-05-18 19:04:11,2018-05-24 00:00:00
0068fb0e223115e911d362627e8b8800,f0bc088c671f31458f73cc1a6a347842,delivered,2018-07-18 10:46:09,2018-07-19 02:50:11,2018-07-19 12:50:00,2018-07-25 21:04:16,2018-08-15 00:00:00
007beb35f98c075747e6fc4fd1c0cb73,e5c49220ea97eddff8b1fbb594913a43,delivered,2017-09-23 08:32:53,2017-09-23 08:50:17,2017-09-26 16:43:03,2017-10-04 15:32:47,2017-10-20 00:00:00
00df27e666004db9f14bce766fa5327c,2f9fe192fe03e0b19bbe3ff35f3100c5,delivered,2017-11-18 11:44:56,2017-11-18 11:55:31,2017-11-20 22:16:49,2017-11-23 21:09:13,2017-12-07 00:00:00
010d15deea8cae96ae86ea8097917a17,bfab01097454f7cf7d2ba80d7af6125f,delivered,2018-04-05 15:04:05,2018-04-05 15:15:25,2018-04-10 19:12:18,2018-04-17 18:41:01,2018-05-07 00:00:00
016f868b096c236312e8bcb818ccd11d,1dd56893d8735089534b232e039b831c,delivered,2018-01-27 19:24:57,2018-01-27 19:33:22,2018-01-29 17:51:39,2018-02-01 21:50:59,2018-02-14 00:00:00
0191bbb5166d4b9a68df11797d5acfa9,62b59a64eb786a96516229b7f3612c72,delivered,2017-08-10 12:17:35,2017-08-10 12:30:15,2017-08-15 19:26:45,2017-08-24 18:15:16,2017-09-08 00:00:00
01b2dd042de98a15b6a9a141bf71c344,6b635dc10f8b7e1032cc13ff619f52c9,delivered,2018-03-11 17:17:41,2018-03-12 17:10:45,2018-03-13 23:26:46,2018-03-16 17:21:35,2018-03-28 00:00:00
01c1f3c10d2641a10cfd97ffaac0b3f5,fd8a9ce7e554b0a3b083521837d0f7c0,delivered,2017-11-28 22:08:43,2017-11-28 22:18:02,2017-12-05 23:22:02,2017-12-14 19:04:51,2017-12-29 00:00:00
01c998b70e420ec36563386a4b71c6bc,598f0ad85bfe5c15f18b219ad41a2167,delivered,2018-01-23 13:47:46,2018-01-23 13:57:28,2018-01-29 19:04:09,2018-02-14 22:51:23,2018-02-20 00:00:00
01eaa000fe5c9f80f535c3d0cad25a47,a43434ddd74de3fb686800674a4f1af6,delivered,2018-08-15 15:29:13,2018-08-15 20:34:35,2018-08-16 16:39:00,2018-08-17 20:02:52,2018-08-28 00:00:00
01ebb9ed879d6fa1da4857ed617972ab,65c931a66a152fc0769247ad03785247,delivered,2017-04-27 18:48:44,2017-04-29 02:43:03,2017-05-02 09:34:37,2017-05-12 17:24:43,2017-05-25 00:00:00
024602a52e3c89ca5f963affcd2bedad,33e9f4b9cf16be89234b0eac5a37173c,delivered,2018-07-06 20:07:20,2018-07-06 20:31:04,2018-07-10 15:27:00,2018-07-16 14:52:37,2018-07-30 00:00:00
02875e2e1d01d7a1533215fb97510b06,9f64e91e123214007c18425d4a0be8db,delivered,2017-08-25 11:16:05,2017-08-26 02:24:28,2017-08-29 19:06:13,2017-08-30 14:04:26,2017-09-08 00:00:00
029f7a5aabaadfcdfe8c0eddb59a1069,745fc498c9bb2df2194e737485a1afa9,delivered,2018-03-05 16:08:35,2018-03-05 16:29:19,2018-03-07 20:33:05,2018-03-08 12:32:08,2018-03-15 00:00:00
02a001cb5f40b1fee4f0375c89cce463,f6268d33d76b777b9a9c8a2c7c781214,delivered,2018-04-14 08:49:33,2018-04-17 05:55:47,2018-04-17 18:33:42,2018-04-25 18:37:24,2018-05-09 00:00:00
02b7cbd604df10c09427902dc682b0d3,656c63b20f75ccd37b33455ec589dc4f,delivered,2018-03-03 17:46:08,2018-03-06 03:51:07,2018-03-07 00:32:28,2018-03-11 18:48:31,2018-03-15 00:00:00
02d50facee2072550ae5a8ef3dc2e10f,739ee0b3c55d7509cbf93ba4275199fb,delivered,2018-01-13 23:58:01,2018-01-14 00:10:43,2018-01-17 19:16:43,2018-01-19 21:36:42,2018-02-02 00:00:00
02d8a3fffa425e73385cc7f7a6518fbe,6104cde8d419deae69db335b70f5bf12,delivered,2018-04-27 12:20:35,2018-04-27 12:35:13,2018-04-27 14:53:00,2018-05-02 23:22:29,2018-05-10 00:00:00
