review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
6f3eb43ec2f5092cf04c8d705864a8ac,f3a9c397a2fa5a2366b4b96bc15737f6,5,,,2018-03-11 00:00:00,2018-03-14 00:38:50
a34d2c4ace97245460e240e07db0212d,9cd3b6a2b07667e425975a219b4fc382,5,,,2018-05-15 00:00:00,2018-05-20 13:57:26
5c37d7ba6ef2f031c34bb4fda3454018,bbd1b9ebbc5a09d51caaa2d10e0f93b5,2,,Demorou de mais pra entrega ,2017-12-17 00:00:00,2017-12-17 12:14:13
072aa82842434b050889c89a33c699a7,f1367a0a8fa445363c4e6d5a529db4a5,3,,,2017-11-15 00:00:00,2017-11-16 08:47:52
a0adf7a439816b22050d6bf433cbbff6,15c8f741c0b7deafafea8af0f7bb6852,5,,"Produto bonito, entregue bem valado e dentro do prazo. Recomendo!",2018-04-10 00:00:00,2018-04-13 11:04:52
1b76e88159db434a903b2f6ce68e2c6a,c87cf593c8c9e0e59f1039a2bb8e5d44,5,,,2018-08-15 00:00:00,2018-08-16 12:59:51
557d0e6fe3a03460bb041cd5b3f7427d,adde6f841dc05dfe3899ed053001e5bc,5,,"Sempre compro no stark e sempre sou bem atendido, site eficiente e produtos de ótima qualidade, recomendo a todos podem comprar de olhos fechados! ",2017-05-24 00:00:00,2017-05-24 23:06:01
4292f07bf6cb46aa563a430e6d9cf10b,7ec4063a8ed5b8e7ab1b7bdd7951ffa9,5,,"A entrega foi realizado muito antes do previsto. 
Bom produto...estou satisfeita",2018-04-20 00:00:00,2018-04-20 11:17:21
ddda0fa55fc550a8f14f6ae00652fcf9,bef6f136b891658b2b57851b5afb5c99,5,,"Produtos otimos, entrega rápida.
Super recomendo!!!",2017-12-22 00:00:00,2017-12-23 15:49:01
4fa8392da03c452f77faa3f2952fa346,0bb77e62d791c3e5b009815ac19825be,5,Bom ,Muito bom mesmo!,2018-05-24 00:00:00,2018-05-26 15:55:48
2afe3bd43d00fe8743d030db08906ac8,c77e3aa4caf8e752789d9b7ce1caf352,5,,,2018-03-15 00:00:00,2018-03-15 12:23:46
1eaf9c9223fcb221f246741e05d75399,83ce09b55f29086739212db0e38aaca1,4,,,2018-02-18 00:00:00,2018-02-27 16:57:53
2eeefc4cf6ad9a0a7c708ad556dc1947,c39345e6efbb71413c9fc98a3dc1a4c5,5,,,2018-05-09 00:00:00,2018-05-17 23:49:49
a68b5b20f860f7904fd5486d3a2d5173,ac4b7ecdaaa68d5c37e626e9a1f49005,3,,,2018-05-25 00:00:00,2018-05-25 11:06:00
7ea98afafdbe948b63e8007a5cba824c,723f4709e0dc0b2fc27c8d68792c2ba6,5,,,2018-05-08 00:00:00,2018-05-10 20:10:26
90ee8065d229642eab9c2ffe3b33b91d,e95cac7e9ed8e477d726d47f72f420c6,4,Boa,"Recomendo esta loja entrega direitinho
",2018-05-16 00:00:00,2018-05-16 21:37:47
