order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
67d413d255c5eb97d120a90d68e2c3d9,1,076e4ce53c8914382e7ff3732511b17e,59fb871bf6f4522a87ba567b42dafecf,2017-06-21 04:05:13,99.99,8.89
38776c227318fc6906defc2d197cb17a,1,d39d1b0a696aa782911206ec3c023ab1,5f3ae9136c875522250f8184f253413a,2018-06-14 15:13:01,14.95,8.29
438dad6fa6e9ce3c50e4497b4232c7ce,2,5dbf50af9485478b933f1028e108640d,582d4f8675b945722eda7c0cb61ba4c7,2018-04-25 16:31:47,5.99,19.32
1e24c66f40e16d38609ed026af8b4c94,1,2b4609f8948be18874494203496bc318,cc419e0650a3c5ba77189a1882b7556a,2018-05-15 16:30:55,79.99,13.16
bb2e64c3040ceb9b7ca2bfc602adca08,4,96d1c06692244e2fed6e1f9aa9552770,00ee68308b45bc5e2660cd833c3f81cc,2017-11-09 11:25:22,62.0,2.34
be049b6fa688493e1676db5fafc0bbb3,2,12f066474dfa3c415c169051c5e1967e,7040e82f899a04d1b434b795a43b4617,2018-05-09 18:14:54,17.9,15.23
d99c77f6eb93e9cdfca26e997f54530e,1,0b0918a3b5efe0c8ea609a26b14e1bff,ea8482cd71df3c1969d7b9473ff13abc,2018-04-25 19:51:01,24.99,18.23
3e01bcdfc97eab0de1ea04ac3848d32d,1,3b0f7951038b105522c2d566b54421f7,562fc2f2c2863ab7e79a9e4388a58a14,2018-02-05 16:52:51,29.99,15.1
c11b5924ad0d8c5d5d391d87178f00a8,2,553e0e7590d3116a072507a3635d2877,1c129092bf23f28a5930387c980c0dfc,2018-03-22 12:47:35,47.9,13.71
a3d974992b6e4d46af6f3c6259ad725d,1,081cac4fc215928a462eb2c06a14dffe,a2deecd5398f5df4987110c80a1972a3,2018-08-21 17:09:09,39.0,18.37
259b2f71f29e6e67c6c737bb11e9b0a3,1,2a2d22ae30e026f1893083c8405ca522,1a3df491d1c4f1589fc2b934ada68bf2,2017-09-25 13:25:13,159.0,21.6
a739bf4717343c5f9c84196b61a9c53f,1,d6160fb7873f184099d9bc95e30376af,53243585a1d6dc2643021fd1853d8905,2017-09-14 19:03:47,1549.99,40.26
ada812c7806382c3085a5f5024bc17ca,1,a36eaac6306e0910249219f203efc877,179d859f51292aac5c10806a356f7af9,2018-07-26 04:45:16,22.0,15.25
e63f16fab229756ce58f86d40747944e,1,a22e92e1c32bdf3db91e0170a8b18408,b32be1695eb7ec5f10f72d9610a12527,2017-12-15 12:31:01,299.0,19.34
8f7176f38b6ac3f5e924b9b05716440c,2,98a8c2fa16d7239c606640f5555768e4,001cca7ae9ae17fb1caed9dfb1094831,2017-09-08 16:15:20,109.0,44.84
b4b82a96ad1cd1dd5071980861bb2575,1,e3b997f50d2aa487a92ed84d4125b590,4830e40640734fc1c52cd21127c341d4,2017-08-04 14:05:24,38.0,12.69
4cbe8de031dbae0b80286a23fdc1cf91,1,54d9ac713e253fa1fae9c8003b011c2a,955fee9216a65b617aa5c0531780ce60,2018-01-17 13:28:30,29.5,19.84
